Location Name,State Index,State Abbr,Total Pop,Income in the past 12 months below poverty level,"Below poverty level per 1,000 residents",Percent below poverty level,state,county
Vieques Municipio,Puerto Rico,PR,9046,3220,355.96,35.596,72,147
Apache County,Arizona,AZ,72346,25658,354.66,35.466,4,1
Bell County,Kentucky,KY,27676,9776,353.23,35.323,21,13
Zavala County,Texas,TX,12107,4248,350.87,35.087,48,507
McDowell County,West Virginia,WV,20273,7076,349.04,34.904,54,47
Clinch County,Georgia,GA,6814,2368,347.52,34.752,13,65
Sumter County,Alabama,AL,13285,4582,344.9,34.49,1,119
Washington County,Mississippi,MS,48824,16831,344.73,34.473,28,151
Coahoma County,Mississippi,MS,24804,8541,344.34,34.434,28,27
Bayamon Municipio,Puerto Rico,PR,192974,66051,342.28,34.228,72,21
Lee County,Kentucky,KY,6896,2360,342.23,34.223,21,129
Ben Hill County,Georgia,GA,17405,5948,341.74,34.174,13,17
Jefferson Davis County,Mississippi,MS,11771,4005,340.24,34.024,28,65
Wilcox County,Alabama,AL,11119,3768,338.88,33.888,1,131
Zapata County,Texas,TX,14335,4857,338.82,33.882,48,505
Dallas County,Alabama,AL,41426,14027,338.6,33.86,1,47
Tensas Parish,Louisiana,LA,4793,1615,336.95,33.695,22,107
Madison Parish,Louisiana,LA,11803,3973,336.61,33.661,22,65
Willacy County,Texas,TX,21944,7371,335.9,33.59,48,489
Knox County,Kentucky,KY,31740,10613,334.37,33.437,21,121
Terrell County,Georgia,GA,9132,3053,334.32,33.432,13,273
Benson County,North Dakota,ND,6802,2270,333.73,33.373,38,5
Phillips County,Arkansas,AR,19929,6588,330.57,33.057,5,107
Glacier County,Montana,MT,13695,4502,328.73,32.873,30,35
Jackson County,Kentucky,KY,13357,4381,327.99,32.799,21,109
Breathitt County,Kentucky,KY,13476,4411,327.32,32.732,21,25
Brooks County,Texas,TX,7217,2358,326.73,32.673,48,47
Cameron County,Texas,TX,418785,136809,326.68,32.668,48,61
Menominee County,Wisconsin,WI,4457,1449,325.11,32.511,55,78
Hudspeth County,Texas,TX,3481,1131,324.91,32.491,48,229
Radford city,Virginia,VA,17186,5580,324.68,32.468,51,750
Alexander County,Illinois,IL,7051,2284,323.93,32.393,17,3
Conecuh County,Alabama,AL,12697,4107,323.46,32.346,1,35
Hidalgo County,Texas,TX,828334,267812,323.31,32.331,48,215
Crisp County,Georgia,GA,23061,7439,322.58,32.258,13,81
Clarke County,Georgia,GA,122037,39327,322.25,32.225,13,59
Gurabo Municipio,Puerto Rico,PR,46990,15141,322.22,32.222,72,63
Madison County,Idaho,ID,38114,12226,320.77,32.077,16,65
Issaquena County,Mississippi,MS,1352,431,318.79,31.879,28,55
Monroe County,Alabama,AL,21975,6972,317.27,31.727,1,99
Emporia city,Virginia,VA,5565,1764,316.98,31.698,51,595
Webb County,Texas,TX,266006,84134,316.29,31.629,48,479
Noxubee County,Mississippi,MS,11098,3510,316.27,31.627,28,103
Leslie County,Kentucky,KY,10869,3435,316.04,31.604,21,131
Harlan County,Kentucky,KY,28031,8857,315.97,31.597,21,95
Wilkinson County,Mississippi,MS,9233,2913,315.5,31.55,28,157
Desha County,Arkansas,AR,12234,3859,315.43,31.543,5,41
Sumter County,Georgia,GA,31070,9749,313.78,31.378,13,261
Taliaferro County,Georgia,GA,1904,593,311.45,31.145,13,265
Thurston County,Nebraska,NE,6989,2168,310.2,31.02,31,173
Rolette County,North Dakota,ND,14607,4523,309.65,30.965,38,79
Sharkey County,Mississippi,MS,4662,1435,307.81,30.781,28,125
Pike County,Mississippi,MS,39939,12290,307.72,30.772,28,113
Early County,Georgia,GA,10480,3216,306.87,30.687,13,99
Toa Alta Municipio,Puerto Rico,PR,74467,22739,305.36,30.536,72,135
Costilla County,Colorado,CO,3590,1092,304.18,30.418,8,23
Floyd County,Kentucky,KY,38144,11532,302.33,30.233,21,71
Nevada County,Arkansas,AR,8668,2615,301.68,30.168,5,99
Echols County,Georgia,GA,4025,1214,301.61,30.161,13,101
Dillon County,South Carolina,SC,31273,9431,301.57,30.157,45,33
Knott County,Kentucky,KY,15884,4784,301.18,30.118,21,119
Burke County,Georgia,GA,22838,6862,300.46,30.046,13,33
Estill County,Kentucky,KY,14406,4326,300.29,30.029,21,65
Robeson County,North Carolina,NC,134576,40313,299.56,29.956,37,155
Twiggs County,Georgia,GA,8363,2504,299.41,29.941,13,289
Bronx County,New York,NY,1436785,427715,297.69,29.769,36,5
Adair County,Oklahoma,OK,22161,6595,297.59,29.759,40,1
Carolina Municipio,Puerto Rico,PR,165040,49105,297.53,29.753,72,31
Trujillo Alto Municipio,Puerto Rico,PR,70737,21023,297.2,29.72,72,139
Sunflower County,Mississippi,MS,27424,8109,295.69,29.569,28,133
Torrance County,New Mexico,NM,15599,4604,295.15,29.515,35,57
Yazoo County,Mississippi,MS,27719,8180,295.1,29.51,28,163
Letcher County,Kentucky,KY,23382,6889,294.63,29.463,21,133
Franklin Parish,Louisiana,LA,20464,6017,294.03,29.403,22,41
Scotland County,North Carolina,NC,35711,10480,293.47,29.347,37,165
Lincoln Parish,Louisiana,LA,47480,13916,293.09,29.309,22,61
Alamosa County,Colorado,CO,16353,4786,292.67,29.267,8,3
Dougherty County,Georgia,GA,92326,26982,292.25,29.225,13,95
Navajo County,Arizona,AZ,108209,31575,291.8,29.18,4,17
Grady County,Georgia,GA,25145,7337,291.79,29.179,13,131
Magoffin County,Kentucky,KY,12887,3751,291.07,29.107,21,153
Chicot County,Arkansas,AR,11189,3252,290.64,29.064,5,17
Luna County,New Mexico,NM,24627,7153,290.45,29.045,35,29
Natchitoches Parish,Louisiana,LA,39258,11401,290.41,29.041,22,69
Oktibbeha County,Mississippi,MS,49424,14343,290.2,29.02,28,105
Elliott County,Kentucky,KY,7661,2210,288.47,28.847,21,63
Candler County,Georgia,GA,10962,3155,287.81,28.781,13,43
Stewart County,Georgia,GA,5791,1666,287.69,28.769,13,259
Petersburg city,Virginia,VA,31997,9191,287.25,28.725,51,730
Pemiscot County,Missouri,MO,17599,5036,286.15,28.615,29,155
Bulloch County,Georgia,GA,73141,20922,286.05,28.605,13,31
Concordia Parish,Louisiana,LA,20288,5794,285.59,28.559,22,29
San Miguel County,New Mexico,NM,28350,8093,285.47,28.547,35,47
Bradley County,Arkansas,AR,11096,3163,285.06,28.506,5,11
Emanuel County,Georgia,GA,22723,6465,284.51,28.451,13,107
Lowndes County,Alabama,AL,10565,3005,284.43,28.443,1,85
Harrisonburg city,Virginia,VA,51979,14757,283.9,28.39,51,660
Monroe County,Arkansas,AR,7542,2139,283.61,28.361,5,95
Martin County,Kentucky,KY,12478,3538,283.54,28.354,21,159
DeSoto County,Florida,FL,35134,9920,282.35,28.235,12,27
Macon County,Georgia,GA,13846,3897,281.45,28.145,13,193
Montgomery County,Mississippi,MS,10353,2913,281.37,28.137,28,97
Hall County,Texas,TX,3162,889,281.15,28.115,48,191
Tunica County,Mississippi,MS,10407,2925,281.06,28.106,28,143
Choctaw County,Oklahoma,OK,15051,4230,281.04,28.104,40,23
Blaine County,Montana,MT,6609,1856,280.83,28.083,30,5
Perry County,Tennessee,TN,7891,2216,280.83,28.083,47,135
Watauga County,North Carolina,NC,52745,14797,280.54,28.054,37,189
Adams County,Mississippi,MS,31747,8905,280.5,28.05,28,1
Jenkins County,Georgia,GA,9055,2539,280.4,28.04,13,165
Jefferson County,Georgia,GA,16201,4535,279.92,27.992,13,163
Randolph County,Georgia,GA,7224,2018,279.35,27.935,13,243
Tulare County,California,CA,455769,127130,278.94,27.894,6,107
