Location Name,State Index,State Abbr,Total Pop,Income in the past 12 months below poverty level,"Below poverty level per 1,000 residents",Percent below poverty level,state,county
Allegan County,Michigan,MI,113666,13093,115.19,11.519,26,5
La Salle County,Texas,TX,7319,843,115.18,11.518,48,283
Mille Lacs County,Minnesota,MN,25788,2970,115.17,11.517,27,95
Davison County,South Dakota,SD,19824,2283,115.16,11.516,46,35
Madison County,Virginia,VA,13122,1510,115.07,11.507,51,113
Jefferson County,Nebraska,NE,7354,846,115.04,11.504,31,95
Edwards County,Illinois,IL,6612,760,114.94,11.494,17,47
Coryell County,Texas,TX,75710,8697,114.87,11.487,48,99
Marquette County,Wisconsin,WI,15082,1730,114.71,11.471,55,77
Pershing County,Nevada,NV,6690,767,114.65,11.465,32,27
Norman County,Minnesota,MN,6638,761,114.64,11.464,27,107
Franklin County,Pennsylvania,PA,152707,17504,114.62,11.462,42,55
Cobb County,Georgia,GA,728388,83479,114.61,11.461,13,67
Amelia County,Virginia,VA,12793,1465,114.52,11.452,51,7
Hubbard County,Minnesota,MN,20640,2363,114.49,11.449,27,57
Pottawattamie County,Iowa,IA,93198,10668,114.47,11.447,19,155
Logan County,Nebraska,NE,830,95,114.46,11.446,31,113
Lee County,Georgia,GA,29134,3334,114.44,11.444,13,177
Cass County,North Dakota,ND,166852,19089,114.41,11.441,38,17
Fremont County,Idaho,ID,12896,1475,114.38,11.438,16,43
Dunn County,North Dakota,ND,4284,490,114.38,11.438,38,25
Martin County,Minnesota,MN,20193,2308,114.3,11.43,27,91
Dodge County,Nebraska,NE,36679,4192,114.29,11.429,31,53
Marshall County,Indiana,IN,46833,5351,114.26,11.426,18,99
Osage County,Kansas,KS,16001,1826,114.12,11.412,20,139
Crane County,Texas,TX,4823,550,114.04,11.404,48,103
Hancock County,Illinois,IL,18633,2124,113.99,11.399,17,67
Clearwater County,Idaho,ID,8528,972,113.98,11.398,16,35
Suffolk city,Virginia,VA,87061,9914,113.87,11.387,51,800
Ascension Parish,Louisiana,LA,117009,13320,113.84,11.384,22,5
Grant County,Minnesota,MN,5943,676,113.75,11.375,27,51
Redwood County,Minnesota,MN,15578,1767,113.43,11.343,27,127
Brown County,Wisconsin,WI,256621,29105,113.42,11.342,55,9
Red Willow County,Nebraska,NE,10884,1234,113.38,11.338,31,145
Rockingham County,Virginia,VA,78427,8888,113.33,11.333,51,165
Franklin County,Indiana,IN,22887,2591,113.21,11.321,18,47
Lake County,Colorado,CO,7401,836,112.96,11.296,8,65
Bayfield County,Wisconsin,WI,14987,1693,112.96,11.296,55,7
Garden County,Nebraska,NE,1930,218,112.95,11.295,31,69
Minnehaha County,South Dakota,SD,182014,20543,112.86,11.286,46,99
Seneca County,New York,NY,35036,3952,112.8,11.28,36,99
Madison County,Texas,TX,13843,1561,112.76,11.276,48,313
Crawford County,Illinois,IL,19441,2192,112.75,11.275,17,33
Howard County,Iowa,IA,9430,1063,112.73,11.273,19,89
Hartford County,Connecticut,CT,895699,100830,112.57,11.257,9,3
Lincoln County,Minnesota,MN,5793,652,112.55,11.255,27,81
Douglas County,Illinois,IL,19770,2223,112.44,11.244,17,41
Carroll County,Illinois,IL,14793,1663,112.42,11.242,17,15
Cherokee County,Iowa,IA,11752,1321,112.41,11.241,19,35
Benton County,Arkansas,AR,245231,27562,112.39,11.239,5,7
Audubon County,Iowa,IA,5793,651,112.38,11.238,19,9
Moniteau County,Missouri,MO,15840,1779,112.31,11.231,29,135
Grant County,Kansas,KS,7748,870,112.29,11.229,20,67
Sierra County,California,CA,2931,329,112.25,11.225,6,91
Salt Lake County,Utah,UT,1092518,122608,112.23,11.223,49,35
Anderson County,Kentucky,KY,21867,2453,112.18,11.218,21,5
Clinton County,Michigan,MI,77245,8665,112.18,11.218,26,37
Hinsdale County,Colorado,CO,856,96,112.15,11.215,8,53
Garfield County,Washington,WA,2231,250,112.06,11.206,53,23
Doniphan County,Kansas,KS,7793,873,112.02,11.202,20,43
Morgan County,West Virginia,WV,17514,1962,112.02,11.202,54,65
Hamilton County,New York,NY,4697,526,111.99,11.199,36,41
Madison County,Montana,MT,7810,874,111.91,11.191,30,57
Pierce County,Wisconsin,WI,40881,4572,111.84,11.184,55,93
Muscatine County,Iowa,IA,42949,4802,111.81,11.181,19,139
Noble County,Indiana,IN,47587,5320,111.8,11.18,18,113
Whiteside County,Illinois,IL,57155,6388,111.77,11.177,17,195
Custer County,South Dakota,SD,8447,944,111.76,11.176,46,33
Jefferson County,Idaho,ID,27096,3023,111.57,11.157,16,51
Calhoun County,Florida,FL,14550,1623,111.55,11.155,12,13
Lassen County,California,CA,31945,3558,111.38,11.138,6,35
Gilliam County,Oregon,OR,1913,213,111.34,11.134,41,21
Brewster County,Texas,TX,9188,1023,111.34,11.134,48,43
Pickaway County,Ohio,OH,56804,6324,111.33,11.133,39,129
Kandiyohi County,Minnesota,MN,42510,4732,111.31,11.131,27,67
Clay County,Minnesota,MN,61402,6827,111.19,11.119,27,27
Republic County,Kansas,KS,4768,530,111.16,11.116,20,157
Franklin County,Massachusetts,MA,70916,7881,111.13,11.113,25,11
Yellow Medicine County,Minnesota,MN,10038,1115,111.08,11.108,27,173
Shawano County,Wisconsin,WI,41384,4594,111.01,11.101,55,115
Lafayette County,Wisconsin,WI,16793,1863,110.94,11.094,55,65
Ness County,Kansas,KS,3047,338,110.93,11.093,20,135
Clarke County,Virginia,VA,14307,1587,110.92,11.092,51,43
Fulton County,Pennsylvania,PA,14653,1624,110.83,11.083,42,57
Archuleta County,Colorado,CO,12355,1369,110.81,11.081,8,7
Sonoma County,California,CA,497776,55095,110.68,11.068,6,97
Westmoreland County,Virginia,VA,17528,1940,110.68,11.068,51,193
Mitchell County,Kansas,KS,6299,697,110.65,11.065,20,123
Kent County,Maryland,MD,19819,2193,110.65,11.065,24,29
Cheyenne County,Colorado,CO,2071,229,110.57,11.057,8,17
North Slope Borough,Alaska,AK,9681,1070,110.53,11.053,2,185
Ocean County,New Jersey,NJ,586166,64770,110.5,11.05,34,29
Saline County,Nebraska,NE,14356,1586,110.48,11.048,31,151
Worcester County,Massachusetts,MA,813589,89860,110.45,11.045,25,27
Fulton County,Ohio,OH,42466,4688,110.39,11.039,39,51
Benzie County,Michigan,MI,17462,1926,110.3,11.03,26,19
Big Stone County,Minnesota,MN,5098,562,110.24,11.024,27,11
New Castle County,Delaware,DE,551997,60817,110.18,11.018,10,3
Essex County,Massachusetts,MA,769362,84757,110.17,11.017,25,9
Boone County,Illinois,IL,53656,5908,110.11,11.011,17,7
Billings County,North Dakota,ND,936,103,110.04,11.004,38,7
Madison County,New York,NY,72089,7932,110.03,11.003,36,53
St. Tammany Parish,Louisiana,LA,246269,27094,110.02,11.002,22,103
Washington County,Vermont,VT,58963,6487,110.02,11.002,50,23
Freeborn County,Minnesota,MN,30751,3383,110.01,11.001,27,47
Nicollet County,Minnesota,MN,33226,3655,110,11,27,103
Washington County,Illinois,IL,14369,1580,109.96,10.996,17,189
Baraga County,Michigan,MI,8612,947,109.96,10.996,26,13
Green Lake County,Wisconsin,WI,18881,2076,109.95,10.995,55,47
Dickinson County,Kansas,KS,19384,2131,109.94,10.994,20,41
Washington County,Colorado,CO,4814,529,109.89,10.989,8,121
Sioux County,Nebraska,NE,1274,140,109.89,10.989,31,165
Hamilton County,Kansas,KS,2567,282,109.86,10.986,20,75
El Paso County,Colorado,CO,665171,73012,109.76,10.976,8,41
Denali Borough,Alaska,AK,2125,233,109.65,10.965,2,68
Hot Springs County,Wyoming,WY,4781,524,109.6,10.96,56,17
Eaton County,Michigan,MI,108544,11895,109.59,10.959,26,45
Washington County,Oregon,OR,564088,61817,109.59,10.959,41,67
Marathon County,Wisconsin,WI,135367,14825,109.52,10.952,55,73
Miami County,Ohio,OH,103864,11374,109.51,10.951,39,109
Sauk County,Wisconsin,WI,63317,6933,109.5,10.95,55,111
Montgomery County,Texas,TX,518849,56804,109.48,10.948,48,339
Northumberland County,Virginia,VA,12272,1343,109.44,10.944,51,133
Paulding County,Ohio,OH,19057,2083,109.3,10.93,39,125
Champaign County,Ohio,OH,39175,4279,109.23,10.923,39,21
Waushara County,Wisconsin,WI,24238,2646,109.17,10.917,55,137
Wyandot County,Ohio,OH,22359,2440,109.13,10.913,39,175
Garfield County,Colorado,CO,57495,6274,109.12,10.912,8,45
Warren County,New York,NY,64911,7079,109.06,10.906,36,113
Lee County,Illinois,IL,34718,3783,108.96,10.896,17,103
Ellis County,Texas,TX,160225,17458,108.96,10.896,48,139
Morrow County,Ohio,OH,35032,3816,108.93,10.893,39,117
Ottawa County,Ohio,OH,40981,4464,108.93,10.893,39,123
San Juan County,Washington,WA,16056,1749,108.93,10.893,53,55
Christian County,Missouri,MO,82053,8935,108.89,10.889,29,43
Moffat County,Colorado,CO,13034,1419,108.87,10.887,8,81
Tioga County,New York,NY,49649,5405,108.86,10.886,36,107
Kane County,Illinois,IL,526615,57312,108.83,10.883,17,89
Greene County,Virginia,VA,19085,2076,108.78,10.878,51,79
Sarasota County,Florida,FL,398011,43281,108.74,10.874,12,115
Grafton County,New Hampshire,NH,89164,9687,108.64,10.864,33,9
Sweetwater County,Wyoming,WY,44812,4868,108.63,10.863,56,37
Douglas County,Nevada,NV,47426,5148,108.55,10.855,32,5
Kittson County,Minnesota,MN,4436,481,108.43,10.843,27,69
Sheridan County,Montana,MT,3645,395,108.37,10.837,30,91
Jefferson County,Missouri,MO,222453,24089,108.29,10.829,29,99
Isle of Wight County,Virginia,VA,36027,3901,108.28,10.828,51,93
Lincoln County,Colorado,CO,5515,597,108.25,10.825,8,73
Cumberland County,Maine,ME,288204,31192,108.23,10.823,23,5
Chittenden County,Vermont,VT,160510,17335,108,10.8,50,7
White Pine County,Nevada,NV,9893,1068,107.96,10.796,32,33
Ogle County,Illinois,IL,52034,5617,107.95,10.795,17,141
Kent County,Texas,TX,667,72,107.95,10.795,48,263
Ida County,Iowa,IA,7041,760,107.94,10.794,19,93
Talbot County,Maryland,MD,37668,4064,107.89,10.789,24,41
Jones County,Texas,TX,19944,2151,107.85,10.785,48,253
Cayuga County,New York,NY,78783,8494,107.82,10.782,36,11
Wagoner County,Oklahoma,OK,76190,8206,107.7,10.77,40,145
Custer County,Montana,MT,11980,1289,107.6,10.76,30,17
Eureka County,Nevada,NV,1730,186,107.51,10.751,32,11
Spink County,South Dakota,SD,6539,703,107.51,10.751,46,115
Buffalo County,Wisconsin,WI,13256,1424,107.42,10.742,55,11
Kosciusko County,Indiana,IN,78461,8423,107.35,10.735,18,85
Monroe County,Michigan,MI,149945,16078,107.23,10.723,26,115
San Benito County,California,CA,58051,6224,107.22,10.722,6,69
Goodhue County,Minnesota,MN,46450,4980,107.21,10.721,27,49
Gibson County,Indiana,IN,33684,3610,107.17,10.717,18,51
Effingham County,Georgia,GA,55852,5985,107.16,10.716,13,103
Carbon County,Montana,MT,10340,1108,107.16,10.716,30,9
Kenai Peninsula Borough,Alaska,AK,57637,6175,107.14,10.714,2,122
Hyde County,South Dakota,SD,1440,154,106.94,10.694,46,69
Windham County,Connecticut,CT,117078,12518,106.92,10.692,9,15
Carroll County,Indiana,IN,20007,2139,106.91,10.691,18,15
Edwards County,Kansas,KS,2975,318,106.89,10.689,20,47
Custer County,Nebraska,NE,10784,1152,106.82,10.682,31,41
Mercer County,New Jersey,NJ,371101,39606,106.73,10.673,34,21
Paulding County,Georgia,GA,149830,15974,106.61,10.661,13,223
Beaver County,Pennsylvania,PA,169205,18036,106.59,10.659,42,7
Chippewa County,Wisconsin,WI,63355,6753,106.59,10.659,55,17
Gaines County,Texas,TX,19485,2076,106.54,10.654,48,165
Union County,New Jersey,NJ,550436,58464,106.21,10.621,34,39
Brown County,South Dakota,SD,38430,4076,106.06,10.606,46,13
Chippewa County,Minnesota,MN,12126,1285,105.97,10.597,27,23
Jefferson County,West Virginia,WV,55531,5884,105.96,10.596,54,37
Ketchikan Gateway Borough,Alaska,AK,13715,1453,105.94,10.594,2,130
Johnson County,Illinois,IL,12866,1363,105.94,10.594,17,87
Nemaha County,Kansas,KS,10177,1078,105.93,10.593,20,131
Gillespie County,Texas,TX,25732,2725,105.9,10.59,48,171
Rains County,Texas,TX,11087,1174,105.89,10.589,48,379
Hamilton County,Iowa,IA,15227,1612,105.86,10.586,19,79
Arapahoe County,Colorado,CO,617668,65383,105.85,10.585,8,5
Sagadahoc County,Maine,ME,35134,3718,105.82,10.582,23,23
Andrews County,Texas,TX,17215,1821,105.78,10.578,48,3
Effingham County,Illinois,IL,34356,3634,105.77,10.577,17,49
Coffey County,Kansas,KS,8433,892,105.77,10.577,20,31
Fayette County,Texas,TX,24909,2630,105.58,10.558,48,149
Morgan County,Colorado,CO,28288,2986,105.56,10.556,8,87
Sussex County,Virginia,VA,11733,1238,105.51,10.551,51,183
Otoe County,Nebraska,NE,15890,1676,105.48,10.548,31,131
Ringgold County,Iowa,IA,5054,533,105.46,10.546,19,159
King County,Washington,WA,2079550,219317,105.46,10.546,53,33
Middlesex County,Virginia,VA,10728,1130,105.33,10.533,51,119
Shenandoah County,Virginia,VA,42857,4514,105.33,10.533,51,171
Wake County,North Carolina,NC,998576,105133,105.28,10.528,37,183
Wayne County,Nebraska,NE,9414,990,105.16,10.516,31,179
Porter County,Indiana,IN,167016,17560,105.14,10.514,18,127
Kiowa County,Colorado,CO,1465,154,105.12,10.512,8,61
Grand County,Colorado,CO,14490,1523,105.11,10.511,8,49
Ramsey County,North Dakota,ND,11578,1217,105.11,10.511,38,71
Snyder County,Pennsylvania,PA,40246,4230,105.1,10.51,42,109
Adams County,Nebraska,NE,31536,3314,105.09,10.509,31,1
Henrico County,Virginia,VA,321921,33818,105.05,10.505,51,87
Cecil County,Maryland,MD,102175,10729,105.01,10.501,24,15
Lancaster County,Pennsylvania,PA,533110,55977,105,10.5,42,71
Ventura County,California,CA,843110,88486,104.95,10.495,6,111
Henderson County,Illinois,IL,6966,731,104.94,10.494,17,71
Wood County,Wisconsin,WI,73621,7715,104.79,10.479,55,141
Marshall County,Iowa,IA,40735,4267,104.75,10.475,19,127
Martin County,Texas,TX,5451,571,104.75,10.475,48,317
Keya Paha County,Nebraska,NE,736,77,104.62,10.462,31,103
Lucas County,Iowa,IA,8700,910,104.6,10.46,19,117
Greene County,Iowa,IA,9083,950,104.59,10.459,19,73
Wyoming County,New York,NY,41239,4312,104.56,10.456,36,121
Rock County,Minnesota,MN,9554,998,104.46,10.446,27,133
Delaware County,Pennsylvania,PA,562316,58737,104.46,10.446,42,45
Guthrie County,Iowa,IA,10691,1116,104.39,10.439,19,77
Lebanon County,Pennsylvania,PA,136950,14293,104.37,10.437,42,75
McCone County,Montana,MT,1678,175,104.29,10.429,30,55
Clermont County,Ohio,OH,201092,20968,104.27,10.427,39,25
Robertson County,Tennessee,TN,67905,7067,104.07,10.407,47,147
Teton County,Montana,MT,6067,631,104.01,10.401,30,99
Walworth County,South Dakota,SD,5538,576,104.01,10.401,46,129
Deuel County,South Dakota,SD,4309,448,103.97,10.397,46,39
Inyo County,California,CA,18326,1905,103.95,10.395,6,27
Marshall County,South Dakota,SD,4743,493,103.94,10.394,46,91
Oldham County,Texas,TX,2069,215,103.91,10.391,48,359
Clayton County,Iowa,IA,17735,1841,103.81,10.381,19,43
Elko County,Nevada,NV,52029,5401,103.81,10.381,32,7
Lincoln County,Kansas,KS,3134,325,103.7,10.37,20,105
Camden County,North Carolina,NC,10228,1060,103.64,10.364,37,29
Putnam County,Illinois,IL,5746,595,103.55,10.355,17,155
Emmet County,Michigan,MI,33091,3426,103.53,10.353,26,47
Frontier County,Nebraska,NE,2599,269,103.5,10.35,31,63
Red Lake County,Minnesota,MN,4042,418,103.41,10.341,27,125
Scott County,Kentucky,KY,51348,5309,103.39,10.339,21,209
Wilson County,Texas,TX,46444,4795,103.24,10.324,48,493
La Plata County,Colorado,CO,53994,5569,103.14,10.314,8,67
Crow Wing County,Minnesota,MN,63321,6531,103.14,10.314,27,35
Walsh County,North Dakota,ND,10995,1134,103.14,10.314,38,99
Guadalupe County,Texas,TX,147313,15190,103.11,10.311,48,187
Natrona County,Wyoming,WY,80871,8333,103.04,10.304,56,25
Jones County,South Dakota,SD,767,79,103,10.3,46,75
Randall County,Texas,TX,128603,13245,102.99,10.299,48,381
Harrison County,Iowa,IA,14335,1474,102.83,10.283,19,85
Adams County,North Dakota,ND,2348,241,102.64,10.264,38,1
Gage County,Nebraska,NE,21778,2235,102.63,10.263,31,67
Rice County,Minnesota,MN,65116,6678,102.56,10.256,27,131
Marshall County,Kentucky,KY,31213,3201,102.55,10.255,21,157
Osceola County,Iowa,IA,6154,631,102.53,10.253,19,143
Worth County,Iowa,IA,7562,775,102.49,10.249,19,195
Waupaca County,Wisconsin,WI,51974,5327,102.49,10.249,55,135
Deuel County,Nebraska,NE,1932,198,102.48,10.248,31,49
York County,Pennsylvania,PA,440604,45113,102.39,10.239,42,133
Cheshire County,New Hampshire,NH,76320,7813,102.37,10.237,33,5
Washington County,Kansas,KS,5613,574,102.26,10.226,20,201
Renville County,Minnesota,MN,14995,1533,102.23,10.223,27,129
Millard County,Utah,UT,12604,1288,102.19,10.219,49,27
Codington County,South Dakota,SD,27886,2847,102.09,10.209,46,29
Lipscomb County,Texas,TX,3507,358,102.08,10.208,48,295
DeKalb County,Missouri,MO,12706,1296,102,10.2,29,63
Moore County,Tennessee,TN,6314,644,102,10.2,47,127
Pickens County,Georgia,GA,29992,3058,101.96,10.196,13,227
Potter County,South Dakota,SD,2306,235,101.91,10.191,46,107
Box Elder County,Utah,UT,51528,5250,101.89,10.189,49,3
Alfalfa County,Oklahoma,OK,5784,589,101.83,10.183,40,3
Marion County,Kansas,KS,12213,1243,101.78,10.178,20,115
Cedar County,Nebraska,NE,8657,881,101.77,10.177,31,27
Laramie County,Wyoming,WY,96459,9812,101.72,10.172,56,21
Bullitt County,Kentucky,KY,77727,7904,101.69,10.169,21,29
Graham County,Kansas,KS,2577,262,101.67,10.167,20,65
Houston County,Minnesota,MN,18791,1910,101.64,10.164,27,55
Cape May County,New Jersey,NJ,95404,9695,101.62,10.162,34,9
Fremont County,Iowa,IA,7019,713,101.58,10.158,19,71
Manitowoc County,Wisconsin,WI,80178,8143,101.56,10.156,55,71
Kimball County,Nebraska,NE,3713,377,101.54,10.154,31,105
Clark County,Washington,WA,450893,45773,101.52,10.152,53,11
Lavaca County,Texas,TX,19654,1995,101.51,10.151,48,285
Yellowstone County,Montana,MT,155344,15767,101.5,10.15,30,111
Warren County,Virginia,VA,38807,3937,101.45,10.145,51,187
Belknap County,New Hampshire,NH,60392,6124,101.4,10.14,33,1
Kitsap County,Washington,WA,257488,26110,101.4,10.14,53,35
Mercer County,Illinois,IL,15971,1618,101.31,10.131,17,131
Westmoreland County,Pennsylvania,PA,359377,36398,101.28,10.128,42,129
Nantucket County,Massachusetts,MA,10694,1083,101.27,10.127,25,19
Brazoria County,Texas,TX,338419,34248,101.2,10.12,48,39
Clay County,Florida,FL,200346,20243,101.04,10.104,12,19
Contra Costa County,California,CA,1107925,111922,101.02,10.102,6,13
Turner County,South Dakota,SD,8289,837,100.98,10.098,46,125
Lapeer County,Michigan,MI,88310,8914,100.94,10.094,26,87
Pike County,Pennsylvania,PA,56210,5672,100.91,10.091,42,103
Kiowa County,Kansas,KS,2520,254,100.79,10.079,20,97
McCook County,South Dakota,SD,5616,566,100.78,10.078,46,87
Slope County,North Dakota,ND,665,67,100.75,10.075,38,87
Wyoming County,Pennsylvania,PA,27975,2817,100.7,10.07,42,131
Boone County,Iowa,IA,26411,2659,100.68,10.068,19,15
St. Louis County,Missouri,MO,1000560,100613,100.56,10.056,29,189
Logan County,Illinois,IL,29820,2996,100.47,10.047,17,107
Routt County,Colorado,CO,23980,2408,100.42,10.042,8,107
Nemaha County,Nebraska,NE,7101,713,100.41,10.041,31,127
Worcester County,Maryland,MD,51441,5162,100.35,10.035,24,47
Rock County,Nebraska,NE,1407,141,100.21,10.021,31,149
Webster County,Nebraska,NE,3665,367,100.14,10.014,31,181
Spencer County,Kentucky,KY,17798,1782,100.12,10.012,21,215
Butte County,South Dakota,SD,10268,1028,100.12,10.012,46,19
Hanson County,South Dakota,SD,3390,339,100,10,46,61
Fairfield County,Ohio,OH,150163,15010,99.96,9.996,39,45
Stutsman County,North Dakota,ND,21108,2108,99.87,9.987,38,93
Beaver County,Oklahoma,OK,5479,547,99.84,9.984,40,7
Caribou County,Idaho,ID,6813,680,99.81,9.981,16,29
Henry County,Ohio,OH,27890,2783,99.78,9.978,39,69
Wallace County,Kansas,KS,1584,158,99.75,9.975,20,199
Amador County,California,CA,36963,3684,99.67,9.967,6,5
Loup County,Nebraska,NE,542,54,99.63,9.963,31,115
Ontario County,New York,NY,109450,10898,99.57,9.957,36,69
Carroll County,New Hampshire,NH,47416,4716,99.46,9.946,33,3
Steuben County,Indiana,IN,34279,3407,99.39,9.939,18,151
Sac County,Iowa,IA,10034,997,99.36,9.936,19,161
Jones County,Iowa,IA,20481,2034,99.31,9.931,19,105
Currituck County,North Carolina,NC,24864,2468,99.26,9.926,37,53
Cherokee County,Georgia,GA,230629,22891,99.25,9.925,13,57
DeSoto County,Mississippi,MS,170890,16948,99.17,9.917,28,33
Allamakee County,Iowa,IA,14001,1388,99.14,9.914,19,5
Pike County,Indiana,IN,12554,1244,99.09,9.909,18,125
Lancaster County,Virginia,VA,11055,1095,99.05,9.905,51,103
Ripley County,Indiana,IN,28633,2834,98.98,9.898,18,137
Chattahoochee County,Georgia,GA,11882,1174,98.8,9.88,13,53
Jefferson County,Wisconsin,WI,84538,8350,98.77,9.877,55,55
Wrangell City and Borough,Alaska,AK,2401,237,98.71,9.871,2,275
Cheyenne County,Nebraska,NE,10090,996,98.71,9.871,31,33
McHenry County,North Dakota,ND,5912,583,98.61,9.861,38,49
Shelby County,Iowa,IA,11944,1174,98.29,9.829,19,165
Washington County,Pennsylvania,PA,208269,20471,98.29,9.829,42,125
Burt County,Nebraska,NE,6594,647,98.12,9.812,31,21
White County,Indiana,IN,24265,2376,97.92,9.792,18,181
Morton County,Kansas,KS,3033,297,97.92,9.792,20,129
Clark County,Indiana,IN,113993,11153,97.84,9.784,18,19
Randolph County,Illinois,IL,32934,3219,97.74,9.774,17,157
Johnson County,Nebraska,NE,5167,505,97.74,9.774,31,97
Polk County,Wisconsin,WI,43483,4250,97.74,9.774,55,95
Putnam County,West Virginia,WV,56743,5546,97.74,9.774,54,79
Noble County,Ohio,OH,14429,1409,97.65,9.765,39,121
Windsor County,Vermont,VT,55894,5456,97.61,9.761,50,27
El Dorado County,California,CA,183000,17839,97.48,9.748,6,17
Clay County,Nebraska,NE,6313,615,97.42,9.742,31,35
Grundy County,Illinois,IL,50338,4899,97.32,9.732,17,63
Fillmore County,Nebraska,NE,5676,551,97.08,9.708,31,59
Maui County,Hawaii,HI,162456,15767,97.05,9.705,15,9
Miner County,South Dakota,SD,2299,223,97,9.7,46,97
Alexandria city,Virginia,VA,151473,14688,96.97,9.697,51,510
Spencer County,Indiana,IN,20777,2013,96.89,9.689,18,147
Winnebago County,Iowa,IA,10580,1023,96.69,9.669,19,189
Merrick County,Nebraska,NE,7793,753,96.63,9.663,31,121
Iowa County,Iowa,IA,16326,1575,96.47,9.647,19,95
Marshall County,Illinois,IL,12060,1163,96.43,9.643,17,123
Sibley County,Minnesota,MN,14957,1442,96.41,9.641,27,143
McLean County,North Dakota,ND,9576,923,96.39,9.639,38,55
Thomas County,Nebraska,NE,675,65,96.3,9.63,31,171
Adams County,Iowa,IA,3822,368,96.28,9.628,19,3
Jerauld County,South Dakota,SD,2029,195,96.11,9.611,46,73
Posey County,Indiana,IN,25527,2451,96.02,9.602,18,129
Iowa County,Wisconsin,WI,23751,2277,95.87,9.587,55,49
Ottawa County,Michigan,MI,276583,26511,95.85,9.585,26,139
Williams County,North Dakota,ND,31643,3033,95.85,9.585,38,105
Montour County,Pennsylvania,PA,18404,1763,95.79,9.579,42,93
Sumner County,Tennessee,TN,172786,16543,95.74,9.574,47,165
Blanco County,Texas,TX,10918,1045,95.71,9.571,48,31
Thomas County,Kansas,KS,7909,756,95.59,9.559,20,193
Holt County,Nebraska,NE,10360,990,95.56,9.556,31,89
Westchester County,New York,NY,969229,92600,95.54,9.554,36,119
Kossuth County,Iowa,IA,15226,1454,95.49,9.549,19,109
Clay County,Kansas,KS,8346,797,95.49,9.549,20,27
Union County,North Carolina,NC,217614,20772,95.45,9.545,37,179
Washington County,Rhode Island,RI,126319,12045,95.35,9.535,44,9
Grand Traverse County,Michigan,MI,90715,8649,95.34,9.534,26,55
Chase County,Nebraska,NE,4061,387,95.3,9.53,31,29
Otter Tail County,Minnesota,MN,57694,5497,95.28,9.528,27,111
Mathews County,Virginia,VA,8848,843,95.28,9.528,51,115
Kauai County,Hawaii,HI,70447,6703,95.15,9.515,15,7
Edmunds County,South Dakota,SD,4000,380,95,9.5,46,45
Trempealeau County,Wisconsin,WI,29521,2804,94.98,9.498,55,121
McClain County,Oklahoma,OK,37222,3530,94.84,9.484,40,87
Matanuska-Susitna Borough,Alaska,AK,98679,9350,94.75,9.475,2,170
Howard County,Nebraska,NE,6365,603,94.74,9.474,31,93
Oakland County,Michigan,MI,1235215,117008,94.73,9.473,26,125
Stanton County,Nebraska,NE,6022,570,94.65,9.465,31,167
Columbia County,Georgia,GA,139904,13225,94.53,9.453,13,73
Prince George's County,Maryland,MD,897693,84744,94.4,9.44,24,33
Garza County,Texas,TX,6614,624,94.35,9.435,48,169
Strafford County,New Hampshire,NH,125913,11875,94.31,9.431,33,17
Delaware County,Iowa,IA,17445,1645,94.3,9.43,19,55
Logan County,Kansas,KS,2800,264,94.29,9.429,20,109
New London County,Connecticut,CT,272033,25645,94.27,9.427,9,11
Essex County,New York,NY,38598,3638,94.25,9.425,36,31
Shelby County,Ohio,OH,48949,4600,93.98,9.398,39,149
Union County,Indiana,IN,7251,681,93.92,9.392,18,161
Miami County,Kansas,KS,32787,3079,93.91,9.391,20,121
Valley County,Montana,MT,7576,711,93.85,9.385,30,105
Uintah County,Utah,UT,36308,3406,93.81,9.381,49,47
Adair County,Iowa,IA,7330,687,93.72,9.372,19,1
Warrick County,Indiana,IN,61427,5757,93.72,9.372,18,173
Marion County,Iowa,IA,33197,3108,93.62,9.362,19,125
Pope County,Minnesota,MN,10975,1026,93.49,9.349,27,121
LaMoure County,North Dakota,ND,4111,384,93.41,9.341,38,45
Madison County,Ohio,OH,43537,4061,93.28,9.328,39,97
Hancock County,Iowa,IA,11006,1026,93.22,9.322,19,81
Butler County,Kansas,KS,66264,6171,93.13,9.313,20,15
Steele County,Minnesota,MN,36541,3396,92.94,9.294,27,147
Barnes County,North Dakota,ND,11033,1025,92.9,9.29,38,3
Lincoln County,Wisconsin,WI,28171,2616,92.86,9.286,55,69
Lexington city,Virginia,VA,7036,653,92.81,9.281,51,678
Marshall County,Kansas,KS,9963,923,92.64,9.264,20,117
Armstrong County,Texas,TX,1913,177,92.52,9.252,48,11
Oneida County,Wisconsin,WI,35604,3294,92.52,9.252,55,85
Jo Daviess County,Illinois,IL,22186,2051,92.45,9.245,17,85
McIntosh County,North Dakota,ND,2737,253,92.44,9.244,38,51
Carroll County,Iowa,IA,20555,1899,92.39,9.239,19,27
Golden Valley County,North Dakota,ND,1895,175,92.35,9.235,38,33
Rogers County,Oklahoma,OK,89970,8297,92.22,9.222,40,131
York County,Maine,ME,200536,18486,92.18,9.218,23,31
Cass County,Missouri,MO,101324,9330,92.08,9.208,29,37
Clinton County,Missouri,MO,20494,1887,92.08,9.208,29,49
Barry County,Michigan,MI,59316,5461,92.07,9.207,26,15
Parker County,Texas,TX,123601,11377,92.05,9.205,48,367
